"SECTOR","STATE","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - Non-Road Equipment - Gasoline","MI","Carbon Monoxide","CAP","531746.85156641087026232622258","TON"
"Fires - Prescribed Fires","AR","Carbon Monoxide","CAP","511316.91783","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","AZ","Carbon Monoxide","CAP","497729.1158653","TON"
"Mobile - Non-Road Equipment - Gasoline","OH","Carbon Monoxide","CAP","495681.253915844800203207626973","TON"
"Biogenics - Vegetation and Soil","CA","Carbon Monoxide","CAP","494582.028","TON"
"Fires - Wildfires","AK","Volatile Organic Compounds","CAP","490754.386953","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","WI","Carbon Monoxide","CAP","488822.6598934","TON"
"Biogenics - Vegetation and Soil","KS","Volatile Organic Compounds","CAP","487429.89","TON"
"Dust - Unpaved Road Dust","FL","PM10 Primary (Filt + Cond)","CAP","482828.1636","TON"
"Fires - Prescribed Fires","OR","Carbon Monoxide","CAP","481629.075507","TON"
"Biogenics - Vegetation and Soil","MI","Volatile Organic Compounds","CAP","478195.57","TON"
"Industrial Processes - Oil & Gas Production","ND","Volatile Organic Compounds","CAP","474556.6713910586","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","SC","Carbon Monoxide","CAP","470243.4628144","TON"
"Mobile - Non-Road Equipment - Gasoline","IL","Carbon Monoxide","CAP","470082.8596588858006011084295516","TON"
"Mobile - Non-Road Equipment - Gasoline","PA","Carbon Monoxide","CAP","466114.576781910040149019693257","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CO","Carbon Monoxide","CAP","462715.26440324","TON"
"Fires - Prescribed Fires","GA","Carbon Monoxide","CAP","460570.87988399","TON"
"Dust - Unpaved Road Dust","TX","PM10 Primary (Filt + Cond)","CAP","458455.31942","TON"
"Biogenics - Vegetation and Soil","MN","Volatile Organic Compounds","CAP","448225.5","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","KY","Carbon Monoxide","CAP","446552.97977047","TON"
"Biogenics - Vegetation and Soil","PA","Volatile Organic Compounds","CAP","439423.86","TON"
"Biogenics - Vegetation and Soil","ME","Volatile Organic Compounds","CAP","436878.38","TON"
"Fires - Wildfires","ID","Carbon Monoxide","CAP","410748.766316","TON"
"Biogenics - Vegetation and Soil","WI","Volatile Organic Compounds","CAP","406127.04","TON"
"Agriculture - Crops & Livestock Dust","TX","PM10 Primary (Filt + Cond)","CAP","400700.11011","TON"
"Agriculture - Crops & Livestock Dust","IL","PM10 Primary (Filt + Cond)","CAP","399919.42719","TON"
"Biogenics - Vegetation and Soil","AZ","Carbon Monoxide","CAP","392556.49","TON"
"Biogenics - Vegetation and Soil","WV","Volatile Organic Compounds","CAP","385060.73","TON"
"Mobile - Non-Road Equipment - Gasoline","NC","Carbon Monoxide","CAP","383344.73593176104027160008726","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","OK","Carbon Monoxide","CAP","382073.9253091","TON"
"Biogenics - Vegetation and Soil","NY","Volatile Organic Compounds","CAP","381551.211","TON"
"Mobile - Non-Road Equipment - Gasoline","GA","Carbon Monoxide","CAP","380879.4269512960809612465818771","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","LA","Carbon Monoxide","CAP","371348.16713","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MS","Carbon Monoxide","CAP","364474.1190776","TON"
"Biogenics - Vegetation and Soil","IL","Volatile Organic Compounds","CAP","362765.63","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","OR","Carbon Monoxide","CAP","357552.4969365","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NJ","Carbon Monoxide","CAP","356029.9812","TON"
"Dust - Unpaved Road Dust","NM","PM10 Primary (Filt + Cond)","CAP","353994.108","TON"
"Agriculture - Crops & Livestock Dust","KS","PM10 Primary (Filt + Cond)","CAP","352603.8745","TON"
"Fuel Comb - Electric Generation - Coal","TX","Sulfur Dioxide","CAP","342830.2307","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MD","Carbon Monoxide","CAP","341004.028483","TON"
"Agriculture - Crops & Livestock Dust","ND","PM10 Primary (Filt + Cond)","CAP","339836.3681","TON"
"Mobile - Non-Road Equipment - Gasoline","NJ","Carbon Monoxide","CAP","336090.24845853264001027606742","TON"
"Fires - Wildfires","LA","Carbon Monoxide","CAP","332059.322536","TON"
"Biogenics - Vegetation and Soil","NE","Volatile Organic Compounds","CAP","326438.03","TON"
"Mobile - Non-Road Equipment - Gasoline","WI","Carbon Monoxide","CAP","323232.6868695048001418246285764","TON"
"Fires - Wildfires","CA","PM10 Primary (Filt + Cond)","CAP","320039.369915","TON"
"Dust - Unpaved Road Dust","OH","PM10 Primary (Filt + Cond)","CAP","319439.697","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","Carbon Monoxide","CAP","312255.9493610436006681565371295","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","IA","Carbon Monoxide","CAP","308634.7859028","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","KS","Carbon Monoxide","CAP","308527.91441346","TON"
"Fuel Comb - Residential - Wood","MN","Carbon Monoxide","CAP","308365.94664","TON"
"Fires - Prescribed Fires","TX","Carbon Monoxide","CAP","307428.811468","TON"
"Mobile - Non-Road Equipment - Gasoline","MN","Carbon Monoxide","CAP","304984.4511137556001808224734333","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","AR","Carbon Monoxide","CAP","304459.7445352","TON"
"Fuel Comb - Electric Generation - Coal","OH","Sulfur Dioxide","CAP","302243.2","TON"
"Fires - Prescribed Fires","OK","Carbon Monoxide","CAP","300257.069458","TON"
"Dust - Unpaved Road Dust","OR","PM10 Primary (Filt + Cond)","CAP","299269.596","TON"
"Dust - Unpaved Road Dust","GA","PM10 Primary (Filt + Cond)","CAP","297838.209","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","Carbon Monoxide","CAP","296088.71778874","TON"
"Biogenics - Vegetation and Soil","OH","Volatile Organic Compounds","CAP","295523.09","TON"
"Biogenics - Vegetation and Soil","SD","Volatile Organic Compounds","CAP","293738.11","TON"
"Fuel Comb - Electric Generation - Coal","IN","Sulfur Dioxide","CAP","292763.1666","TON"
"Fires - Wildfires","WA","Volatile Organic Compounds","CAP","291568.646895202","TON"
"Agriculture - Crops & Livestock Dust","SD","PM10 Primary (Filt + Cond)","CAP","286494.261","TON"
"Fires - Prescribed Fires","CA","Carbon Monoxide","CAP","284523.523637","TON"
"Biogenics - Vegetation and Soil","NM","Carbon Monoxide","CAP","278843.185","TON"
"Fires - Wildfires","TX","Carbon Monoxide","CAP","273152.631069","TON"
"Dust - Unpaved Road Dust","AL","PM10 Primary (Filt + Cond)","CAP","271271.159","TON"
"Fires - Wildfires","CA","PM2.5 Primary (Filt + Cond)","CAP","271219.810045","TON"
"Mobile - Non-Road Equipment - Gasoline","WA","Carbon Monoxide","CAP","270377.4895985177720766067579565","TON"
"Agriculture - Livestock Waste","CA","Ammonia","CAP","269275.284114","TON"
"Fires - Wildfires","OR","Volatile Organic Compounds","CAP","261704.584546","TON"
"Fuel Comb - Electric Generation - Coal","PA","Sulfur Dioxide","CAP","261668.1986","TON"
"Fires - Wildfires","KY","Carbon Monoxide","CAP","260032.472136","TON"
"Industrial Processes - Oil & Gas Production","TX","Nitrogen Oxides","CAP","259148.15075063","TON"
"Dust - Unpaved Road Dust","IN","PM10 Primary (Filt + Cond)","CAP","257986.763","TON"
"Fires - Prescribed Fires","MS","Carbon Monoxide","CAP","257764.369833","TON"
"Mobile - Non-Road Equipment - Gasoline","MO","Carbon Monoxide","CAP","257637.0313674212804920299044497","TON"
"Mobile - Non-Road Equipment - Gasoline","IN","Carbon Monoxide","CAP","256219.82665219653024112959928","TON"
"Mobile - Non-Road Equipment - Gasoline","AZ","Carbon Monoxide","CAP","256141.5588657780700250709133298","TON"
"Fires - Prescribed Fires","MT","Carbon Monoxide","CAP","253830.280649","TON"
"Fires - Prescribed Fires","MN","Carbon Monoxide","CAP","248479.143225","TON"
"Biogenics - Vegetation and Soil","OR","Carbon Monoxide","CAP","246961.43","TON"
"Biogenics - Vegetation and Soil","FL","Carbon Monoxide","CAP","245589.16","TON"
"Dust - Unpaved Road Dust","IL","PM10 Primary (Filt + Cond)","CAP","244966.8158","TON"
"Agriculture - Livestock Waste","IA","Ammonia","CAP","243886.3485664","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","Carbon Monoxide","CAP","242227.018931224900007194668439","TON"
"Mobile - Non-Road Equipment - Gasoline","TN","Carbon Monoxide","CAP","241097.1922553346803432218813173","TON"
"Biogenics - Vegetation and Soil","IN","Volatile Organic Compounds","CAP","238845.946","TON"
"Mobile - Non-Road Equipment - Gasoline","MD","Carbon Monoxide","CAP","238082.7401467840000160473680978","TON"
"Biogenics - Vegetation and Soil","NV","Carbon Monoxide","CAP","235095.006","TON"
"Fires - Prescribed Fires","FL","Volatile Organic Compounds","CAP","233175.0719355","TON"
"Fires - Wildfires","AZ","Carbon Monoxide","CAP","231914.127885","TON"
"Biogenics - Vegetation and Soil","IA","Volatile Organic Compounds","CAP","230568.58","TON"
"Fires - Prescribed Fires","ID","Carbon Monoxide","CAP","227066.626167","TON"
"Fires - Prescribed Fires","SC","Carbon Monoxide","CAP","225944.0831703","TON"
"Agriculture - Crops & Livestock Dust","IA","PM10 Primary (Filt + Cond)","CAP","225207.6633","TON"
"Waste Disposal","GA","Carbon Monoxide","CAP","223711.184498","TON"
"Biogenics - Vegetation and Soil","GA","Carbon Monoxide","CAP","216422.301","TON"
"Mobile - Non-Road Equipment - Gasoline","CO","Carbon Monoxide","CAP","214671.6638211601002928740235531","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","UT","Carbon Monoxide","CAP","214622.16357851","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","TX","Nitrogen Oxides","CAP","214444.72307847","TON"
"Industrial Processes - Oil & Gas Production","WY","Volatile Organic Compounds","CAP","210618.0213745637567","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NE","Carbon Monoxide","CAP","208143.500615903","TON"
"Biogenics - Vegetation and Soil","MT","Carbon Monoxide","CAP","206357.29","TON"
"Mobile - Non-Road Equipment - Gasoline","AL","Carbon Monoxide","CAP","206160.078603203600224203910391","TON"
"Dust - Unpaved Road Dust","MS","PM10 Primary (Filt + Cond)","CAP","205732.08","TON"
"Fuel Comb - Electric Generation - Coal","KY","Sulfur Dioxide","CAP","204622.620352","TON"
"Fires - Wildfires","AK","PM10 Primary (Filt + Cond)","CAP","203455.130659","TON"
"Agriculture - Crops & Livestock Dust","MN","PM10 Primary (Filt + Cond)","CAP","201333.75379","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NM","Carbon Monoxide","CAP","201010.00909088","TON"
"Waste Disposal","CA","Carbon Monoxide","CAP","199860.593123485","TON"
"Agriculture - Crops & Livestock Dust","OK","PM10 Primary (Filt + Cond)","CAP","199471.347","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","Carbon Monoxide","CAP","198615.831","TON"
"Mobile - Non-Road Equipment - Gasoline","LA","Carbon Monoxide","CAP","196334.7064292122301943693615828","TON"
"Industrial Processes - Ferrous Metals","IN","Carbon Monoxide","CAP","196250.956344","TON"
"Mobile - Non-Road Equipment - Gasoline","SC","Carbon Monoxide","CAP","193251.403741693600059149999001","TON"
"Agriculture - Livestock Waste","TX","Ammonia","CAP","192785.3825852","TON"
"Biogenics - Vegetation and Soil","ND","Volatile Organic Compounds","CAP","192294.21","TON"
"Agriculture - Crops & Livestock Dust","NE","PM10 Primary (Filt + Cond)","CAP","189571.0321","TON"
"Industrial Processes - Oil & Gas Production","OK","Volatile Organic Compounds","CAP","189551.6050543655","TON"
"Fires - Prescribed Fires","KS","Carbon Monoxide","CAP","187733.652336","TON"
"Biogenics - Vegetation and Soil","AL","Carbon Monoxide","CAP","187066.3","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NV","Carbon Monoxide","CAP","186759.11547877","TON"
"Agriculture - Crops & Livestock Dust","MO","PM10 Primary (Filt + Cond)","CAP","186000.29448","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","ID","Carbon Monoxide","CAP","185192.07833065","TON"
"Dust - Unpaved Road Dust","WI","PM10 Primary (Filt + Cond)","CAP","182685.592","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","TX","Nitrogen Oxides","CAP","178764.967723043","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MT","Carbon Monoxide","CAP","176736.2709907","TON"
"Industrial Processes - Oil & Gas Production","TX","Carbon Monoxide","CAP","175811.26591448","TON"
"Industrial Processes - Oil & Gas Production","NM","Volatile Organic Compounds","CAP","175006.19544484","TON"
"Biogenics - Vegetation and Soil","LA","Carbon Monoxide","CAP","174896.811","TON"
"Biogenics - Vegetation and Soil","WA","Carbon Monoxide","CAP","173665.083","TON"
"Fires - Wildfires","AK","PM2.5 Primary (Filt + Cond)","CAP","172419.508663","TON"
"Agriculture - Crops & Livestock Dust","MT","PM10 Primary (Filt + Cond)","CAP","171538.84112","TON"
"Mobile - Non-Road Equipment - Gasoline","OR","Carbon Monoxide","CAP","169200.7292862283600636493579102","TON"
"Agriculture - Crops & Livestock Dust","WI","PM10 Primary (Filt + Cond)","CAP","168526.13647","TON"
"Fires - Prescribed Fires","LA","Volatile Organic Compounds","CAP","167727.1067606","TON"
"Fires - Prescribed Fires","WA","Carbon Monoxide","CAP","166924.2370529","TON"
"Agriculture - Crops & Livestock Dust","OH","PM10 Primary (Filt + Cond)","CAP","166918.21431","TON"
"Mobile - Non-Road Equipment - Gasoline","IA","Carbon Monoxide","CAP","165271.7158304368404252757978523","TON"
"Biogenics - Vegetation and Soil","MS","Carbon Monoxide","CAP","163968.114","TON"
"Biogenics - Vegetation and Soil","OK","Carbon Monoxide","CAP","160218.569","TON"
"Biogenics - Vegetation and Soil","UT","Carbon Monoxide","CAP","159949.554","TON"
"Dust - Unpaved Road Dust","OK","PM10 Primary (Filt + Cond)","CAP","159209.187","TON"
"Biogenics - Vegetation and Soil","ID","Carbon Monoxide","CAP","159121.154","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","WV","Carbon Monoxide","CAP","156843.43338288","TON"
"Fires - Wildfires","OK","Carbon Monoxide","CAP","156021.314267","TON"
"Agriculture - Livestock Waste","NC","Ammonia","CAP","155931.1607792","TON"
"Waste Disposal","TX","Carbon Monoxide","CAP","155532.6351536","TON"
"Fires - Prescribed Fires","SD","Carbon Monoxide","CAP","155348.675739","TON"
"Mobile - Non-Road Equipment - Gasoline","KY","Carbon Monoxide","CAP","155272.9364937766805272680929447","TON"
"Fires - Agricultural Field Burning","FL","Carbon Monoxide","CAP","155217.193057","TON"
"Dust - Unpaved Road Dust","KS","PM10 Primary (Filt + Cond)","CAP","154839.487","TON"
"Fires - Prescribed Fires","AL","Volatile Organic Compounds","CAP","154815.4899243","TON"
"Fires - Prescribed Fires","MO","Volatile Organic Compounds","CAP","154527.467649","TON"
"Fuel Comb - Electric Generation - Coal","MI","Sulfur Dioxide","CAP","153962.765","TON"
"Agriculture - Crops & Livestock Dust","AR","PM10 Primary (Filt + Cond)","CAP","153477.2239","TON"
"Dust - Construction Dust","TX","PM10 Primary (Filt + Cond)","CAP","153240.76439413","TON"
"Mobile - Non-Road Equipment - Gasoline","OK","Carbon Monoxide","CAP","153205.824259367050263455388365","TON"
"Biogenics - Vegetation and Soil","CO","Carbon Monoxide","CAP","152756.217","TON"
"Fuel Comb - Electric Generation - Coal","TX","Carbon Monoxide","CAP","152045.1507","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","FL","Nitrogen Oxides","CAP","149712.84927251","TON"
"Biogenics - Vegetation and Soil","AR","Carbon Monoxide","CAP","148624.33","TON"
"Fuel Comb - Residential - Wood","PA","Carbon Monoxide","CAP","145391.60374","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CA","Nitrogen Oxides","CAP","143582.362165","TON"
"Dust - Unpaved Road Dust","ID","PM10 Primary (Filt + Cond)","CAP","143384.048","TON"
"Biogenics - Vegetation and Soil","MD","Volatile Organic Compounds","CAP","142009.23","TON"
"Biogenics - Vegetation and Soil","KS","Carbon Monoxide","CAP","141125.611","TON"
"Dust - Construction Dust","IL","PM10 Primary (Filt + Cond)","CAP","140299.53849","TON"
"Solvent - Consumer & Commercial Solvent Use","TX","Volatile Organic Compounds","CAP","137150.92593011","TON"
"Fuel Comb - Electric Generation - Coal","IL","Sulfur Dioxide","CAP","136042.44017","TON"
"Biogenics - Vegetation and Soil","NC","Carbon Monoxide","CAP","134204.684","TON"
"Fuel Comb - Electric Generation - Coal","MO","Sulfur Dioxide","CAP","134190.0211","TON"
"Mobile - Non-Road Equipment - Gasoline","CT","Carbon Monoxide","CAP","132887.8983826850000004100453","TON"
"Mobile - Non-Road Equipment - Gasoline","AR","Carbon Monoxide","CAP","128866.4365668162002080833296623","TON"
"Fires - Prescribed Fires","VA","Carbon Monoxide","CAP","128628.882915","TON"
"Dust - Unpaved Road Dust","MI","PM10 Primary (Filt + Cond)","CAP","127282.856","TON"
"Mobile - Non-Road Equipment - Gasoline","PR","Carbon Monoxide","CAP","126136.3226359024600209978348912","TON"
"Fires - Prescribed Fires","NC","Carbon Monoxide","CAP","125933.1833469","TON"
"Waste Disposal","FL","Carbon Monoxide","CAP","125493.2002332","TON"
"Fires - Prescribed Fires","IA","Carbon Monoxide","CAP","125050.3214888","TON"
"Agriculture - Crops & Livestock Dust","ID","PM10 Primary (Filt + Cond)","CAP","125030.531979","TON"
"Fuel Comb - Residential - Wood","MI","Carbon Monoxide","CAP","124357.7412509","TON"
"Fuel Comb - Residential - Wood","NY","Carbon Monoxide","CAP","124201.232585","TON"
"Dust - Unpaved Road Dust","MT","PM10 Primary (Filt + Cond)","CAP","124162.834","TON"
"Fires - Wildfires","WA","PM10 Primary (Filt + Cond)","CAP","123850.1056865251","TON"
"Mobile - Non-Road Equipment - Diesel","TX","Nitrogen Oxides","CAP","121615.244645936600044862750829","TON"
"Fires - Prescribed Fires","TN","Carbon Monoxide","CAP","120781.20014","TON"
"Fires - Prescribed Fires","AR","Volatile Organic Compounds","CAP","120745.796517","TON"
"Fuel Comb - Electric Generation - Coal","AL","Sulfur Dioxide","CAP","119792.517","TON"
"Mobile - Non-Road Equipment - Gasoline","MS","Carbon Monoxide","CAP","119375.0260751214402140634219473","TON"
"Industrial Processes - Oil & Gas Production","PA","Volatile Organic Compounds","CAP","119304.8703953791844","TON"
"Agriculture - Fertilizer Application","CA","Ammonia","CAP","118487.63381407","TON"
"Biogenics - Vegetation and Soil","WY","Carbon Monoxide","CAP","118412.73","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","FL","Volatile Organic Compounds","CAP","118066.8897154","TON"
"Dust - Unpaved Road Dust","AZ","PM10 Primary (Filt + Cond)","CAP","117481.643","TON"
"Fuel Comb - Electric Generation - Coal","PA","Nitrogen Oxides","CAP","117271.4718","TON"
"Biogenics - Vegetation and Soil","MO","Carbon Monoxide","CAP","115823.111","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","TX","Volatile Organic Compounds","CAP","114259.681978143","TON"
"Solvent - Consumer & Commercial Solvent Use","FL","Volatile Organic Compounds","CAP","114003.11108356","TON"
"Mobile - Non-Road Equipment - Gasoline","KS","Carbon Monoxide","CAP","113203.45322935004024860944956885","TON"
"Fires - Prescribed Fires","OR","Volatile Organic Compounds","CAP","113166.29836","TON"
"Mobile - Non-Road Equipment - Gasoline","NV","Carbon Monoxide","CAP","112592.9643702997500544365335025","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CA","Volatile Organic Compounds","CAP","112429.48791","TON"
"Mobile - Non-Road Equipment - Gasoline","FL","Volatile Organic Compounds","CAP","112392.3821618299453224180538969","TON"
"Industrial Processes - Oil & Gas Production","CA","Volatile Organic Compounds","CAP","112343.2382958152","TON"
"Industrial Processes - Oil & Gas Production","UT","Volatile Organic Compounds","CAP","112112.2460862426","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","PR","Carbon Monoxide","CAP","112026.71192766","TON"
"Fires - Wildfires","OR","PM10 Primary (Filt + Cond)","CAP","111891.140694","TON"
"Fuel Comb - Residential - Wood","WA","Carbon Monoxide","CAP","110858.629187","TON"
"Fires - Prescribed Fires","ND","Carbon Monoxide","CAP","110580.251062","TON"
"Biogenics - Vegetation and Soil","SC","Carbon Monoxide","CAP","110578.06","TON"
"Fuel Comb - Residential - Wood","OH","Carbon Monoxide","CAP","109676.939066","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","SD","Carbon Monoxide","CAP","108943.41446602","TON"
"Fires - Prescribed Fires","FL","PM10 Primary (Filt + Cond)","CAP","107295.66644784","TON"
"Fires - Prescribed Fires","HI","Carbon Monoxide","CAP","107270.54099","TON"
"Fires - Prescribed Fires","IL","Carbon Monoxide","CAP","107142.211344","TON"
"Agriculture - Crops & Livestock Dust","WA","PM10 Primary (Filt + Cond)","CAP","106658.88452","TON"
"Fuel Comb - Electric Generation - Coal","IN","Nitrogen Oxides","CAP","106228.9058","TON"
"Agriculture - Crops & Livestock Dust","CO","PM10 Primary (Filt + Cond)","CAP","106220.45321","TON"
"Dust - Unpaved Road Dust","VA","PM10 Primary (Filt + Cond)","CAP","105485.883842","TON"
"Fires - Wildfires","WA","PM2.5 Primary (Filt + Cond)","CAP","104949.5223315553","TON"
"Biogenics - Vegetation and Soil","NH","Volatile Organic Compounds","CAP","104256.71","TON"
"Dust - Unpaved Road Dust","WY","PM10 Primary (Filt + Cond)","CAP","104041.493","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NC","Nitrogen Oxides","CAP","103753.4571804","TON"
"Biogenics - Vegetation and Soil","NJ","Volatile Organic Compounds","CAP","102877.182","TON"
"Dust - Unpaved Road Dust","LA","PM10 Primary (Filt + Cond)","CAP","102708.75","TON"
